invandrare,ålder,inkomst,region,label
0,21,27501,0,vänster
0,72,33167,1,vänster
0,89,53146,1,höger
0,18,23065,0,vänster
0,45,29491,0,vänster
0,23,73800,0,höger
0,88,82166,1,höger
1,47,46863,0,vänster
0,64,34860,1,höger
1,39,34182,1,vänster
0,89,29250,1,vänster
0,69,59963,1,höger
0,68,36318,0,höger
0,72,30413,0,höger
0,83,35352,1,höger
0,77,55019,1,höger
0,61,41541,1,vänster
0,82,33029,0,höger
0,82,36563,0,höger
0,20,55350,1,vänster
0,90,20251,0,vänster
0,34,34277,0,vänster
0,87,48881,0,höger
0,84,38259,1,vänster
1,88,37596,1,vänster
0,60,28724,1,höger
0,34,56487,0,höger
0,30,41536,1,vänster
0,24,30076,0,vänster
1,75,32101,1,vänster
0,27,68950,1,vänster
0,29,42240,0,vänster
0,45,43882,0,höger
0,76,66201,1,höger
0,80,48773,1,höger
0,82,33517,0,höger
0,41,17953,1,höger
1,28,48837,1,vänster
0,44,28228,0,höger
0,27,51647,1,vänster
1,86,40739,1,vänster
0,85,56866,1,höger
0,35,34086,1,vänster
0,51,39929,1,vänster
0,38,34690,0,höger
0,37,68869,1,höger
1,34,34699,1,vänster
0,70,27207,0,höger
0,40,42382,0,höger
0,78,61207,1,höger
0,47,51330,1,höger
0,62,46998,0,höger
1,51,62672,1,vänster
0,58,58150,1,vänster
1,73,73583,1,vänster
0,64,54222,1,höger
1,56,50816,1,vänster
1,66,61638,0,höger
0,88,28308,0,höger
0,74,32914,1,höger
0,39,22332,0,höger
0,48,26730,0,höger
1,49,43852,0,höger
0,67,29477,1,vänster
1,31,13879,0,vänster
0,33,72967,1,höger
0,58,60280,0,höger
0,88,39718,1,höger
0,53,34005,0,höger
0,52,32510,1,vänster
1,45,39699,1,vänster
0,20,42504,0,höger
1,63,25403,1,vänster
0,46,34809,1,höger
0,69,59796,0,höger
0,77,36470,1,höger
0,61,24522,0,höger
1,20,27507,0,vänster
0,23,16664,0,höger
0,65,56025,1,höger
1,38,23157,0,vänster
0,27,42708,0,höger
0,56,35192,0,vänster
0,72,19839,0,höger
0,73,52852,0,höger
0,52,29113,0,höger
0,59,44491,0,höger
0,21,36773,1,vänster
0,51,89205,1,höger
0,28,39518,1,vänster
0,78,31996,0,höger
0,57,27553,0,höger
0,88,51675,1,höger
1,33,16178,0,vänster
0,85,27134,0,höger
1,23,36529,0,vänster
1,80,43576,1,vänster
0,32,30810,0,höger
0,24,32764,1,vänster
0,46,14987,0,höger
0,72,52585,1,höger
0,45,32778,1,höger
0,38,41485,1,vänster
0,76,36352,1,vänster
0,43,47544,1,vänster
1,39,45464,0,höger
0,74,62627,1,höger
0,28,35028,0,höger
0,20,37858,0,vänster
0,74,20718,0,höger
0,80,31874,0,höger
1,70,49935,0,höger
0,58,43387,1,höger
0,74,22140,0,höger
0,74,32550,0,höger
0,57,34016,0,höger
0,32,44216,1,vänster
0,78,46427,1,höger
0,83,20891,0,höger
0,80,30876,0,höger
0,87,28390,1,höger
0,66,73225,1,höger
0,81,29374,0,höger
0,19,28097,0,höger
1,78,22595,0,vänster
